FIPS,STATE,ABBR,NAME
04007,Arizona,AZ,Gila County
04009,Arizona,AZ,Graham County
04011,Arizona,AZ,Greenlee County
04012,Arizona,AZ,La Paz County
04013,Arizona,AZ,Maricopa County
04015,Arizona,AZ,Mohave County
04017,Arizona,AZ,Navajo County
04019,Arizona,AZ,Pima County
04021,Arizona,AZ,Pinal County
04023,Arizona,AZ,Santa Cruz County
04025,Arizona,AZ,Yavapai County
04027,Arizona,AZ,Yuma County
05001,Arkansas,AR,Arkansas County
05003,Arkansas,AR,Ashley County
05005,Arkansas,AR,Baxter County
05007,Arkansas,AR,Benton County
05009,Arkansas,AR,Boone County
05011,Arkansas,AR,Bradley County
05013,Arkansas,AR,Calhoun County
05015,Arkansas,AR,Carroll County
05017,Arkansas,AR,Chicot County
05019,Arkansas,AR,Clark County
05021,Arkansas,AR,Clay County
05023,Arkansas,AR,Cleburne County
05025,Arkansas,AR,Cleveland County
05027,Arkansas,AR,Columbia County
05029,Arkansas,AR,Conway County
05031,Arkansas,AR,Craighead County
05033,Arkansas,AR,Crawford County
05035,Arkansas,AR,Crittenden County
05037,Arkansas,AR,Cross County
05039,Arkansas,AR,Dallas County
05041,Arkansas,AR,Desha County
05043,Arkansas,AR,Drew County
05045,Arkansas,AR,Faulkner County
05047,Arkansas,AR,Franklin County
05049,Arkansas,AR,Fulton County
05051,Arkansas,AR,Garland County
05053,Arkansas,AR,Grant County
05055,Arkansas,AR,Greene County
05057,Arkansas,AR,Hempstead County
05059,Arkansas,AR,Hot Spring County
05061,Arkansas,AR,Howard County
05063,Arkansas,AR,Independence County
05065,Arkansas,AR,Izard County
05067,Arkansas,AR,Jackson County
05069,Arkansas,AR,Jefferson County
05071,Arkansas,AR,Johnson County
05073,Arkansas,AR,Lafayette County
05075,Arkansas,AR,Lawrence County
05077,Arkansas,AR,Lee County
05079,Arkansas,AR,Lincoln County
05081,Arkansas,AR,Little River County
05083,Arkansas,AR,Logan County
05085,Arkansas,AR,Lonoke County
05087,Arkansas,AR,Madison County
05089,Arkansas,AR,Marion County
05091,Arkansas,AR,Miller County
05093,Arkansas,AR,Mississippi County
05095,Arkansas,AR,Monroe County
05097,Arkansas,AR,Montgomery County
05099,Arkansas,AR,Nevada County
05101,Arkansas,AR,Newton County
05103,Arkansas,AR,Ouachita County
05105,Arkansas,AR,Perry County
05107,Arkansas,AR,Phillips County
05109,Arkansas,AR,Pike County
05111,Arkansas,AR,Poinsett County
05113,Arkansas,AR,Polk County
05115,Arkansas,AR,Pope County
05117,Arkansas,AR,Prairie County
05119,Arkansas,AR,Pulaski County
05121,Arkansas,AR,Randolph County
05123,Arkansas,AR,St. Francis County
05125,Arkansas,AR,Saline County
05127,Arkansas,AR,Scott County
05129,Arkansas,AR,Searcy County
05131,Arkansas,AR,Sebastian County
05133,Arkansas,AR,Sevier County
05135,Arkansas,AR,Sharp County
05137,Arkansas,AR,Stone County
05139,Arkansas,AR,Union County
05141,Arkansas,AR,Van Buren County
05143,Arkansas,AR,Washington County
05145,Arkansas,AR,White County
05147,Arkansas,AR,Woodruff County
05149,Arkansas,AR,Yell County
06001,California,CA,Alameda County
06003,California,CA,Alpine County
06005,California,CA,Amador County
06007,California,CA,Butte County
06009,California,CA,Calaveras County
06011,California,CA,Colusa County
06013,California,CA,Contra Costa County
06015,California,CA,Del Norte County
06017,California,CA,El Dorado County
06019,California,CA,Fresno County
06021,California,CA,Glenn County
06023,California,CA,Humboldt County
06025,California,CA,Imperial County
06027,California,CA,Inyo County
06029,California,CA,Kern County
06031,California,CA,Kings County
06033,California,CA,Lake County
06035,California,CA,Lassen County
06037,California,CA,Los Angeles County
06039,California,CA,Madera County
06041,California,CA,Marin County
06043,California,CA,Mariposa County
06045,California,CA,Mendocino County
06047,California,CA,Merced County
06049,California,CA,Modoc County
06051,California,CA,Mono County
06053,California,CA,Monterey County
06055,California,CA,Napa County
06057,California,CA,Nevada County
06059,California,CA,Orange County
06061,California,CA,Placer County
06063,California,CA,Plumas County
06065,California,CA,Riverside County
06067,California,CA,Sacramento County
06069,California,CA,San Benito County
06071,California,CA,San Bernardino County
06073,California,CA,San Diego County
06075,California,CA,San Francisco County
06077,California,CA,San Joaquin County
06079,California,CA,San Luis Obispo County
06081,California,CA,San Mateo County
06083,California,CA,Santa Barbara County
06085,California,CA,Santa Clara County
06087,California,CA,Santa Cruz County
06089,California,CA,Shasta County
06091,California,CA,Sierra County
06093,California,CA,Siskiyou County
06095,California,CA,Solano County
06097,California,CA,Sonoma County
06099,California,CA,Stanislaus County
06101,California,CA,Sutter County
06103,California,CA,Tehama County
06105,California,CA,Trinity County
06107,California,CA,Tulare County
06109,California,CA,Tuolumne County
06111,California,CA,Ventura County
06113,California,CA,Yolo County
06115,California,CA,Yuba County
08001,Colorado,CO,Adams County
08003,Colorado,CO,Alamosa County
08005,Colorado,CO,Arapahoe County
08007,Colorado,CO,Archuleta County
08009,Colorado,CO,Baca County
08011,Colorado,CO,Bent County
08013,Colorado,CO,Boulder County
08014,Colorado,CO,Broomfield County
08015,Colorado,CO,Chaffee County
08017,Colorado,CO,Cheyenne County
08019,Colorado,CO,Clear Creek County
08021,Colorado,CO,Conejos County
08023,Colorado,CO,Costilla County
08025,Colorado,CO,Crowley County
08027,Colorado,CO,Custer County
08029,Colorado,CO,Delta County
08031,Colorado,CO,Denver County
08033,Colorado,CO,Dolores County
08035,Colorado,CO,Douglas County
08037,Colorado,CO,Eagle County
08039,Colorado,CO,Elbert County
08041,Colorado,CO,El Paso County
08043,Colorado,CO,Fremont County
08045,Colorado,CO,Garfield County
08047,Colorado,CO,Gilpin County
08049,Colorado,CO,Grand County
08051,Colorado,CO,Gunnison County
08053,Colorado,CO,Hinsdale County
08055,Colorado,CO,Huerfano County
08057,Colorado,CO,Jackson County
08059,Colorado,CO,Jefferson County
08061,Colorado,CO,Kiowa County
08063,Colorado,CO,Kit Carson County
08065,Colorado,CO,Lake County
08067,Colorado,CO,La Plata County
08069,Colorado,CO,Larimer County
08071,Colorado,CO,Las Animas County
08073,Colorado,CO,Lincoln County
08075,Colorado,CO,Logan County
08077,Colorado,CO,Mesa County
08079,Colorado,CO,Mineral County
08081,Colorado,CO,Moffat County
08083,Colorado,CO,Montezuma County
08085,Colorado,CO,Montrose County
08087,Colorado,CO,Morgan County
08089,Colorado,CO,Otero County
08091,Colorado,CO,Ouray County
08093,Colorado,CO,Park County
08095,Colorado,CO,Phillips County
08097,Colorado,CO,Pitkin County
08099,Colorado,CO,Prowers County
08101,Colorado,CO,Pueblo County
08103,Colorado,CO,Rio Blanco County
08105,Colorado,CO,Rio Grande County
08107,Colorado,CO,Routt County
08109,Colorado,CO,Saguache County
08111,Colorado,CO,San Juan County
08113,Colorado,CO,San Miguel County
08115,Colorado,CO,Sedgwick County
08117,Colorado,CO,Summit County
08119,Colorado,CO,Teller County
08121,Colorado,CO,Washington County
08123,Colorado,CO,Weld County
08125,Colorado,CO,Yuma County
09001,Connecticut,CT,Fairfield County
09003,Connecticut,CT,Hartford County
09005,Connecticut,CT,Litchfield County
09007,Connecticut,CT,Middlesex County
09009,Connecticut,CT,New Haven County
09011,Connecticut,CT,New London County
09013,Connecticut,CT,Tolland County
09015,Connecticut,CT,Windham County
10001,Delaware,DE,Kent County
10003,Delaware,DE,New Castle County
10005,Delaware,DE,Sussex County
11001,District of Columbia,DC,District of Columbia
12001,Florida,FL,Alachua County
12003,Florida,FL,Baker County
12005,Florida,FL,Bay County
12007,Florida,FL,Bradford County
12009,Florida,FL,Brevard County
12011,Florida,FL,Broward County
12013,Florida,FL,Calhoun County
12015,Florida,FL,Charlotte County
12017,Florida,FL,Citrus County
12019,Florida,FL,Clay County
12021,Florida,FL,Collier County
12023,Florida,FL,Columbia County
12027,Florida,FL,DeSoto County
12029,Florida,FL,Dixie County
12031,Florida,FL,Duval County
12033,Florida,FL,Escambia County
12035,Florida,FL,Flagler County
12037,Florida,FL,Franklin County
12039,Florida,FL,Gadsden County
12041,Florida,FL,Gilchrist County
12043,Florida,FL,Glades County
12045,Florida,FL,Gulf County
12047,Florida,FL,Hamilton County
12049,Florida,FL,Hardee County
12051,Florida,FL,Hendry County
12053,Florida,FL,Hernando County
12055,Florida,FL,Highlands County
12057,Florida,FL,Hillsborough County
12059,Florida,FL,Holmes County
12061,Florida,FL,Indian River County
12063,Florida,FL,Jackson County
12065,Florida,FL,Jefferson County
12067,Florida,FL,Lafayette County
12069,Florida,FL,Lake County
12071,Florida,FL,Lee County
12073,Florida,FL,Leon County
12075,Florida,FL,Levy County
12077,Florida,FL,Liberty County
12079,Florida,FL,Madison County
12081,Florida,FL,Manatee County
12083,Florida,FL,Marion County
12085,Florida,FL,Martin County
12086,Florida,FL,Miami-Dade County
12087,Florida,FL,Monroe County
12089,Florida,FL,Nassau County
12091,Florida,FL,Okaloosa County
12093,Florida,FL,Okeechobee County
12095,Florida,FL,Orange County
12097,Florida,FL,Osceola County
12099,Florida,FL,Palm Beach County
12101,Florida,FL,Pasco County
12103,Florida,FL,Pinellas County
12105,Florida,FL,Polk County
12107,Florida,FL,Putnam County
12109,Florida,FL,St. Johns County
12111,Florida,FL,St. Lucie County
12113,Florida,FL,Santa Rosa County
12115,Florida,FL,Sarasota County
12117,Florida,FL,Seminole County
12119,Florida,FL,Sumter County
12121,Florida,FL,Suwannee County
12123,Florida,FL,Taylor County
12125,Florida,FL,Union County
12127,Florida,FL,Volusia County
12129,Florida,FL,Wakulla County
12131,Florida,FL,Walton County
12133,Florida,FL,Washington County
13001,Georgia,GA,Appling County
13003,Georgia,GA,Atkinson County
13005,Georgia,GA,Bacon County
13007,Georgia,GA,Baker County
13009,Georgia,GA,Baldwin County
13011,Georgia,GA,Banks County
13013,Georgia,GA,Barrow County
13015,Georgia,GA,Bartow County
13017,Georgia,GA,Ben Hill County
13019,Georgia,GA,Berrien County
13021,Georgia,GA,Bibb County
13023,Georgia,GA,Bleckley County
13025,Georgia,GA,Brantley County
13027,Georgia,GA,Brooks County
13029,Georgia,GA,Bryan County
13031,Georgia,GA,Bulloch County
13033,Georgia,GA,Burke County
13035,Georgia,GA,Butts County
13037,Georgia,GA,Calhoun County
13039,Georgia,GA,Camden County
13043,Georgia,GA,Candler County
13045,Georgia,GA,Carroll County
13047,Georgia,GA,Catoosa County
13049,Georgia,GA,Charlton County
13051,Georgia,GA,Chatham County
13053,Georgia,GA,Chattahoochee County
13055,Georgia,GA,Chattooga County
13057,Georgia,GA,Cherokee County
13059,Georgia,GA,Clarke County
13061,Georgia,GA,Clay County
13063,Georgia,GA,Clayton County
13065,Georgia,GA,Clinch County
13067,Georgia,GA,Cobb County
13069,Georgia,GA,Coffee County
13071,Georgia,GA,Colquitt County
13073,Georgia,GA,Columbia County
13075,Georgia,GA,Cook County
13077,Georgia,GA,Coweta County
13079,Georgia,GA,Crawford County
13081,Georgia,GA,Crisp County
13083,Georgia,GA,Dade County
13085,Georgia,GA,Dawson County
13087,Georgia,GA,Decatur County
13089,Georgia,GA,DeKalb County
13091,Georgia,GA,Dodge County
13093,Georgia,GA,Dooly County
13095,Georgia,GA,Dougherty County
13097,Georgia,GA,Douglas County
13099,Georgia,GA,Early County
13101,Georgia,GA,Echols County
13103,Georgia,GA,Effingham County
13105,Georgia,GA,Elbert County
13107,Georgia,GA,Emanuel County
13109,Georgia,GA,Evans County
13111,Georgia,GA,Fannin County
13113,Georgia,GA,Fayette County
13115,Georgia,GA,Floyd County
13117,Georgia,GA,Forsyth County
13119,Georgia,GA,Franklin County
13121,Georgia,GA,Fulton County
13123,Georgia,GA,Gilmer County
13125,Georgia,GA,Glascock County
13127,Georgia,GA,Glynn County
13129,Georgia,GA,Gordon County
13131,Georgia,GA,Grady County
13133,Georgia,GA,Greene County
13135,Georgia,GA,Gwinnett County
13137,Georgia,GA,Habersham County
13139,Georgia,GA,Hall County
13141,Georgia,GA,Hancock County
13143,Georgia,GA,Haralson County
13145,Georgia,GA,Harris County
13147,Georgia,GA,Hart County
13149,Georgia,GA,Heard County
13151,Georgia,GA,Henry County
13153,Georgia,GA,Houston County
13155,Georgia,GA,Irwin County
13157,Georgia,GA,Jackson County
13159,Georgia,GA,Jasper County
13161,Georgia,GA,Jeff Davis County
13163,Georgia,GA,Jefferson County
13165,Georgia,GA,Jenkins County
13167,Georgia,GA,Johnson County
13169,Georgia,GA,Jones County
13171,Georgia,GA,Lamar County
13173,Georgia,GA,Lanier County
13175,Georgia,GA,Laurens County
13177,Georgia,GA,Lee County
13179,Georgia,GA,Liberty County
13181,Georgia,GA,Lincoln County
13183,Georgia,GA,Long County
13185,Georgia,GA,Lowndes County
13187,Georgia,GA,Lumpkin County
13189,Georgia,GA,McDuffie County
13191,Georgia,GA,McIntosh County
13193,Georgia,GA,Macon County
13195,Georgia,GA,Madison County
13197,Georgia,GA,Marion County
13199,Georgia,GA,Meriwether County
13201,Georgia,GA,Miller County
13205,Georgia,GA,Mitchell County
13207,Georgia,GA,Monroe County
13209,Georgia,GA,Montgomery County
13211,Georgia,GA,Morgan County
13213,Georgia,GA,Murray County
13215,Georgia,GA,Muscogee County
13217,Georgia,GA,Newton County
13219,Georgia,GA,Oconee County
13221,Georgia,GA,Oglethorpe County
13223,Georgia,GA,Paulding County
13225,Georgia,GA,Peach County
13227,Georgia,GA,Pickens County
13229,Georgia,GA,Pierce County
13231,Georgia,GA,Pike County
13233,Georgia,GA,Polk County
13235,Georgia,GA,Pulaski County
13237,Georgia,GA,Putnam County
13239,Georgia,GA,Quitman County
13241,Georgia,GA,Rabun County
13243,Georgia,GA,Randolph County
13245,Georgia,GA,Richmond County
13247,Georgia,GA,Rockdale County
13249,Georgia,GA,Schley County
13251,Georgia,GA,Screven County
13253,Georgia,GA,Seminole County
13255,Georgia,GA,Spalding County
13257,Georgia,GA,Stephens County
13259,Georgia,GA,Stewart County
13261,Georgia,GA,Sumter County
13263,Georgia,GA,Talbot County
13265,Georgia,GA,Taliaferro County
13267,Georgia,GA,Tattnall County
13269,Georgia,GA,Taylor County
13271,Georgia,GA,Telfair County
13273,Georgia,GA,Terrell County
13275,Georgia,GA,Thomas County
13277,Georgia,GA,Tift County
13279,Georgia,GA,Toombs County
13281,Georgia,GA,Towns County
13283,Georgia,GA,Treutlen County
13285,Georgia,GA,Troup County
13287,Georgia,GA,Turner County
13289,Georgia,GA,Twiggs County
13291,Georgia,GA,Union County
13293,Georgia,GA,Upson County
13295,Georgia,GA,Walker County
13297,Georgia,GA,Walton County
13299,Georgia,GA,Ware County
13301,Georgia,GA,Warren County
13303,Georgia,GA,Washington County
13305,Georgia,GA,Wayne County
13307,Georgia,GA,Webster County
13309,Georgia,GA,Wheeler County
13311,Georgia,GA,White County
13313,Georgia,GA,Whitfield County
13315,Georgia,GA,Wilcox County
13317,Georgia,GA,Wilkes County
13319,Georgia,GA,Wilkinson County
13321,Georgia,GA,Worth County
15001,Hawaii,HI,Hawaii County
15003,Hawaii,HI,Honolulu County
15005,Hawaii,HI,Kalawao County
15007,Hawaii,HI,Kauai County
15009,Hawaii,HI,Maui County
16001,Idaho,ID,Ada County
16003,Idaho,ID,Adams County
16005,Idaho,ID,Bannock County
16007,Idaho,ID,Bear Lake County
16009,Idaho,ID,Benewah County
16011,Idaho,ID,Bingham County
16013,Idaho,ID,Blaine County
16015,Idaho,ID,Boise County
16017,Idaho,ID,Bonner County
16019,Idaho,ID,Bonneville County
16021,Idaho,ID,Boundary County
16023,Idaho,ID,Butte County
16025,Idaho,ID,Camas County
16027,Idaho,ID,Canyon County
16029,Idaho,ID,Caribou County
16031,Idaho,ID,Cassia County
16033,Idaho,ID,Clark County
16035,Idaho,ID,Clearwater County
16037,Idaho,ID,Custer County
16039,Idaho,ID,Elmore County
16041,Idaho,ID,Franklin County
16043,Idaho,ID,Fremont County
16045,Idaho,ID,Gem County
16047,Idaho,ID,Gooding County
16049,Idaho,ID,Idaho County
16051,Idaho,ID,Jefferson County
16053,Idaho,ID,Jerome County
16055,Idaho,ID,Kootenai County
16057,Idaho,ID,Latah County
16059,Idaho,ID,Lemhi County
16061,Idaho,ID,Lewis County
16063,Idaho,ID,Lincoln County
16065,Idaho,ID,Madison County
16067,Idaho,ID,Minidoka County
16069,Idaho,ID,Nez Perce County
16071,Idaho,ID,Oneida County
16073,Idaho,ID,Owyhee County
16075,Idaho,ID,Payette County
16077,Idaho,ID,Power County
16079,Idaho,ID,Shoshone County
16081,Idaho,ID,Teton County
16083,Idaho,ID,Twin Falls County
16085,Idaho,ID,Valley County
16087,Idaho,ID,Washington County
17001,Illinois,IL,Adams County
17003,Illinois,IL,Alexander County
17005,Illinois,IL,Bond County
17007,Illinois,IL,Boone County
17009,Illinois,IL,Brown County
17011,Illinois,IL,Bureau County
17013,Illinois,IL,Calhoun County
17015,Illinois,IL,Carroll County
17017,Illinois,IL,Cass County
17019,Illinois,IL,Champaign County
17021,Illinois,IL,Christian County
17023,Illinois,IL,Clark County
17025,Illinois,IL,Clay County
17027,Illinois,IL,Clinton County
17029,Illinois,IL,Coles County
17031,Illinois,IL,Cook County
17033,Illinois,IL,Crawford County
17035,Illinois,IL,Cumberland County
17037,Illinois,IL,DeKalb County
17039,Illinois,IL,De Witt County
17041,Illinois,IL,Douglas County
17043,Illinois,IL,DuPage County
17045,Illinois,IL,Edgar County
17047,Illinois,IL,Edwards County
17049,Illinois,IL,Effingham County
17051,Illinois,IL,Fayette County
17053,Illinois,IL,Ford County
17055,Illinois,IL,Franklin County
17057,Illinois,IL,Fulton County
17059,Illinois,IL,Gallatin County
17061,Illinois,IL,Greene County
17063,Illinois,IL,Grundy County
17065,Illinois,IL,Hamilton County
17067,Illinois,IL,Hancock County
17069,Illinois,IL,Hardin County
17071,Illinois,IL,Henderson County
17073,Illinois,IL,Henry County
17075,Illinois,IL,Iroquois County
17077,Illinois,IL,Jackson County
17079,Illinois,IL,Jasper County
17081,Illinois,IL,Jefferson County
17083,Illinois,IL,Jersey County
17085,Illinois,IL,Jo Daviess County
17087,Illinois,IL,Johnson County
17089,Illinois,IL,Kane County
17091,Illinois,IL,Kankakee County
17093,Illinois,IL,Kendall County
17095,Illinois,IL,Knox County
17097,Illinois,IL,Lake County
17099,Illinois,IL,LaSalle County
17101,Illinois,IL,Lawrence County
17103,Illinois,IL,Lee County
17105,Illinois,IL,Livingston County
17107,Illinois,IL,Logan County
17109,Illinois,IL,McDonough County
17111,Illinois,IL,McHenry County
17113,Illinois,IL,McLean County
17115,Illinois,IL,Macon County
17117,Illinois,IL,Macoupin County
17119,Illinois,IL,Madison County
17121,Illinois,IL,Marion County
17123,Illinois,IL,Marshall County
17125,Illinois,IL,Mason County
17127,Illinois,IL,Massac County
17129,Illinois,IL,Menard County
17131,Illinois,IL,Mercer County
17133,Illinois,IL,Monroe County
17135,Illinois,IL,Montgomery County
17137,Illinois,IL,Morgan County
17139,Illinois,IL,Moultrie County
17141,Illinois,IL,Ogle County
17143,Illinois,IL,Peoria County
17145,Illinois,IL,Perry County
17147,Illinois,IL,Piatt County
17149,Illinois,IL,Pike County
17151,Illinois,IL,Pope County
17153,Illinois,IL,Pulaski County
17155,Illinois,IL,Putnam County
17157,Illinois,IL,Randolph County
17159,Illinois,IL,Richland County
17161,Illinois,IL,Rock Island County
17163,Illinois,IL,St. Clair County
17165,Illinois,IL,Saline County
17167,Illinois,IL,Sangamon County
17169,Illinois,IL,Schuyler County
17171,Illinois,IL,Scott County
17173,Illinois,IL,Shelby County
17175,Illinois,IL,Stark County
17177,Illinois,IL,Stephenson County
17179,Illinois,IL,Tazewell County
17181,Illinois,IL,Union County
17183,Illinois,IL,Vermilion County
17185,Illinois,IL,Wabash County
17187,Illinois,IL,Warren County
17189,Illinois,IL,Washington County
17191,Illinois,IL,Wayne County
17193,Illinois,IL,White County
17195,Illinois,IL,Whiteside County
17197,Illinois,IL,Will County
17199,Illinois,IL,Williamson County
17201,Illinois,IL,Winnebago County
17203,Illinois,IL,Woodford County
18001,Indiana,IN,Adams County
18003,Indiana,IN,Allen County
18005,Indiana,IN,Bartholomew County
18007,Indiana,IN,Benton County
18009,Indiana,IN,Blackford County
18011,Indiana,IN,Boone County
18013,Indiana,IN,Brown County
18015,Indiana,IN,Carroll County
18017,Indiana,IN,Cass County
18019,Indiana,IN,Clark County
18021,Indiana,IN,Clay County
18023,Indiana,IN,Clinton County
18025,Indiana,IN,Crawford County
18027,Indiana,IN,Daviess County
18029,Indiana,IN,Dearborn County
18031,Indiana,IN,Decatur County
18033,Indiana,IN,DeKalb County
18035,Indiana,IN,Delaware County
18037,Indiana,IN,Dubois County
18039,Indiana,IN,Elkhart County
18041,Indiana,IN,Fayette County
18043,Indiana,IN,Floyd County
18045,Indiana,IN,Fountain County
18047,Indiana,IN,Franklin County
18049,Indiana,IN,Fulton County
18051,Indiana,IN,Gibson County
18053,Indiana,IN,Grant County
18055,Indiana,IN,Greene County
18057,Indiana,IN,Hamilton County
18059,Indiana,IN,Hancock County
18061,Indiana,IN,Harrison County
18063,Indiana,IN,Hendricks County
18065,Indiana,IN,Henry County
18067,Indiana,IN,Howard County
18069,Indiana,IN,Huntington County
18071,Indiana,IN,Jackson County
18073,Indiana,IN,Jasper County
18075,Indiana,IN,Jay County
18077,Indiana,IN,Jefferson County
18079,Indiana,IN,Jennings County
18081,Indiana,IN,Johnson County
18083,Indiana,IN,Knox County
18085,Indiana,IN,Kosciusko County
18087,Indiana,IN,LaGrange County
18089,Indiana,IN,Lake County
18091,Indiana,IN,LaPorte County
18093,Indiana,IN,Lawrence County
18095,Indiana,IN,Madison County
18097,Indiana,IN,Marion County
18099,Indiana,IN,Marshall County
18101,Indiana,IN,Martin County
18103,Indiana,IN,Miami County
18105,Indiana,IN,Monroe County
18107,Indiana,IN,Montgomery County
18109,Indiana,IN,Morgan County
18111,Indiana,IN,Newton County
18113,Indiana,IN,Noble County
18115,Indiana,IN,Ohio County
18117,Indiana,IN,Orange County
18119,Indiana,IN,Owen County
18121,Indiana,IN,Parke County
18123,Indiana,IN,Perry County
18125,Indiana,IN,Pike County
18127,Indiana,IN,Porter County
18129,Indiana,IN,Posey County
18131,Indiana,IN,Pulaski County
18133,Indiana,IN,Putnam County
18135,Indiana,IN,Randolph County
18137,Indiana,IN,Ripley County
18139,Indiana,IN,Rush County
18141,Indiana,IN,St. Joseph County
18143,Indiana,IN,Scott County
18145,Indiana,IN,Shelby County
18147,Indiana,IN,Spencer County
18149,Indiana,IN,Starke County
18151,Indiana,IN,Steuben County
18153,Indiana,IN,Sullivan County
18155,Indiana,IN,Switzerland County
18157,Indiana,IN,Tippecanoe County
18159,Indiana,IN,Tipton County
18161,Indiana,IN,Union County
18163,Indiana,IN,Vanderburgh County
18165,Indiana,IN,Vermillion County
18167,Indiana,IN,Vigo County
18169,Indiana,IN,Wabash County
18171,Indiana,IN,Warren County
18173,Indiana,IN,Warrick County
18175,Indiana,IN,Washington County
18177,Indiana,IN,Wayne County
18179,Indiana,IN,Wells County
18181,Indiana,IN,White County
18183,Indiana,IN,Whitley County
19001,Iowa,IA,Adair County
19003,Iowa,IA,Adams County
19005,Iowa,IA,Allamakee County
19007,Iowa,IA,Appanoose County
19009,Iowa,IA,Audubon County
19011,Iowa,IA,Benton County
19013,Iowa,IA,Black Hawk County
19015,Iowa,IA,Boone County
19017,Iowa,IA,Bremer County
19019,Iowa,IA,Buchanan County
19021,Iowa,IA,Buena Vista County
19023,Iowa,IA,Butler County
19025,Iowa,IA,Calhoun County
19027,Iowa,IA,Carroll County
19029,Iowa,IA,Cass County
19031,Iowa,IA,Cedar County
19033,Iowa,IA,Cerro Gordo County
19035,Iowa,IA,Cherokee County
19037,Iowa,IA,Chickasaw County
19039,Iowa,IA,Clarke County
19041,Iowa,IA,Clay County
19043,Iowa,IA,Clayton County
19045,Iowa,IA,Clinton County
19047,Iowa,IA,Crawford County
19049,Iowa,IA,Dallas County
19051,Iowa,IA,Davis County
19053,Iowa,IA,Decatur County
19055,Iowa,IA,Delaware County
19057,Iowa,IA,Des Moines County
19059,Iowa,IA,Dickinson County
19061,Iowa,IA,Dubuque County
19063,Iowa,IA,Emmet County
19065,Iowa,IA,Fayette County
19067,Iowa,IA,Floyd County
19069,Iowa,IA,Franklin County
